seed	generator_depth	generator_base_breadth	batch_size	min_data_size	max_data_size	normalization	augmentation_dict	epochs	patience
1	4	16	8	50	400	{'std': 2250, 'mean': 1500}	{'FlipLR': {}}	10	100
d_loss	g_loss	mae	val_loss	val_mae
0.8063538074493408	1.93399977684021	1445.5389404296875	1327.7421875	1327.7421875
0.7691965103149414	1.8322975635528564	1368.828369140625	1274.183837890625	1274.183837890625
0.6962921023368835	1.7461721897125244	1322.0118408203125	1242.1068115234375	1242.1068115234375
0.6140404939651489	1.5679460763931274	1299.3953857421875	1208.2635498046875	1208.2635498046875
0.5783835053443909	1.493516206741333	1259.6197509765625	1176.8812255859375	1176.8812255859375
0.5778087973594666	1.5511332750320435	1263.00537109375	1148.8367919921875	1148.8367919921875
0.501328706741333	1.4514408111572266	1204.0277099609375	1122.4425048828125	1122.4425048828125
0.5438524484634399	1.4731239080429077	1202.439453125	1096.5201416015625	1096.5201416015625
0.4764474034309387	1.3781514167785645	1165.93505859375	1077.0789794921875	1077.0789794921875
0.48808059096336365	1.3813896179199219	1142.5667724609375	1054.07373046875	1054.07373046875
