seed	generator_depth	generator_base_breadth	batch_size	min_data_size	max_data_size	normalization	augmentation_dict	epochs	patience
1	4	16	8	200	400	{'std': 2250, 'mean': 1500}	{'FlipLR': {}, 'Affine': {'rotate': <function <lambda> at 0x0000018182529A68>}}	20	100
d_loss	g_loss	mae	val_loss	val_mae
0.6508351564407349	1.547292709350586	1247.5101318359375	1236.3057861328125	1236.3057861328125
0.4906936287879944	1.2680575847625732	1130.4625244140625	1137.2232666015625	1137.2232666015625
0.48069143295288086	1.177393913269043	1043.7471923828125	1057.21484375	1057.21484375
0.4399484395980835	1.1880216598510742	964.1964111328125	989.9031372070312	989.9031372070312
0.4118005931377411	1.0274243354797363	908.9451904296875	922.8502197265625	922.8502197265625
0.429008811712265	1.0490226745605469	840.99169921875	856.9513549804688	856.9513549804688
0.37870463728904724	0.901678204536438	762.6394653320312	795.3993530273438	795.3993530273438
0.3955379128456116	0.8336244225502014	716.3997192382812	737.5760498046875	737.5760498046875
0.4060395658016205	0.7905774116516113	677.7863159179688	681.94287109375	681.94287109375
0.376971572637558	0.7730206251144409	621.609375	631.4269409179688	631.4269409179688
0.38522616028785706	0.7477191686630249	569.8969116210938	583.35986328125	583.35986328125
0.3779650330543518	0.5954149961471558	524.566650390625	536.7216186523438	536.7216186523438
0.38506078720092773	0.5910184383392334	491.7677307128906	494.4985656738281	494.4985656738281
0.38732805848121643	0.6256206035614014	447.674560546875	458.2592468261719	458.2592468261719
0.36776822805404663	0.5879056453704834	426.406982421875	428.34906005859375	428.34906005859375
0.39377108216285706	0.5234556198120117	387.0851745605469	403.03076171875	403.03076171875
0.3552137613296509	0.5659437775611877	352.88165283203125	381.1069641113281	381.1069641113281
0.38151928782463074	0.5062574744224548	338.2878723144531	364.7355651855469	364.7355651855469
0.3739938735961914	0.49026620388031006	323.9892578125	352.7721252441406	352.7721252441406
0.365859717130661	0.4486377239227295	317.43310546875	343.9041748046875	343.9041748046875
