seed	generator_depth	generator_base_breadth	batch_size	min_data_size	max_data_size	normalization	augmentation_dict	epochs	patience
1	4	16	8	200	400	{'std': 2250, 'mean': 1500}	{}	20	100
d_loss	g_loss	mae	val_loss	val_mae
0.6281365156173706	1.3999245166778564	1056.919677734375	1008.50390625	1008.50390625
0.4951179325580597	1.3037230968475342	971.4376831054688	934.429443359375	934.429443359375
0.4428211450576782	1.1808655261993408	901.2968139648438	878.9075317382812	878.9075317382812
0.4263375699520111	1.06378173828125	844.3699951171875	813.33203125	813.33203125
0.39647483825683594	1.0123569965362549	770.67041015625	749.4413452148438	749.4413452148438
0.4152926504611969	0.9262654185295105	712.0819702148438	689.6409912109375	689.6409912109375
0.42456474900245667	0.8470994234085083	659.9369506835938	635.0824584960938	635.0824584960938
0.40817970037460327	0.7870089411735535	597.5675659179688	582.708984375	582.708984375
0.411556214094162	0.7621152400970459	550.6715698242188	539.3436279296875	539.3436279296875
0.3894202709197998	0.7279278039932251	520.7169799804688	498.5221252441406	498.5221252441406
0.42571455240249634	0.6455036401748657	474.4271545410156	470.0865783691406	470.0865783691406
0.3795711100101471	0.5900065898895264	432.06561279296875	431.69677734375	431.69677734375
0.39001575112342834	0.5916353464126587	405.9611511230469	403.6192932128906	403.6192932128906
0.3978344202041626	0.5678598284721375	377.5094909667969	382.0333251953125	382.0333251953125
0.42801493406295776	0.553093671798706	362.0368347167969	366.1635437011719	366.1635437011719
0.3705739676952362	0.5068109035491943	351.0680847167969	351.3716735839844	351.3716735839844
0.3796839118003845	0.5476938486099243	329.8400573730469	343.0422058105469	343.0422058105469
0.39746910333633423	0.5098513960838318	336.3041076660156	335.9991455078125	335.9991455078125
0.38812148571014404	0.4763457775115967	322.859375	329.1484069824219	329.1484069824219
0.3883552849292755	0.5953131914138794	323.2306213378906	325.4712219238281	325.4712219238281
